"id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"2603.06149v1","2026-03-06 10:59:31","2026-03-06 10:59:31","PQC-LEO: An Evaluation Framework for Post-Quantum Cryptographic Algorithms","Advances in quantum computing threaten digital communication security by undermining the foundations of current public-key cryptography through Shor's quantum algorithm. This has driven the development of Post-Quantum Cryptography (PQC), a new set of algorithms resistant to quantum attacks. While NIST has standardised several PQC schemes, challenges remain in their adoption. This paper introduces the PQC-LEO framework, a benchmarking suite designed to automate the evaluation of PQC computational and networking performance across x86 and ARM architectures. A proof-of-concept evaluation was conducted to demonstrate the framework's capabilities and highlight its application in supporting ongoing research on the adoption of PQC algorithms. The results show that there is a greater performance reduction in implementing PQC methods with higher security on ARM architectures than on the x86 architecture.","Callum Turino|William J Buchanan|Owen Lo|Christoph Thuummler","","https://arxiv.org/abs/2603.06149v1","https://arxiv.org/pdf/2603.06149v1","https://doi.org/10.1109/TPS-ISA67132.2025.00033","","2025 IEEE 7th International Conference on Trust, Privacy and Security in Intelligent Systems, and Applications (TPS-ISA)","10.1109/TPS-ISA67132.2025.00033","cs.CR","cs.CR"
"2603.06051v1","2026-03-06 09:04:32","2026-03-06 09:04:32","A LINDDUN-based Privacy Threat Modeling Framework for GenAI","As generative AI (GenAI) systems become increasingly prevalent across various technological stacks, the question of how such systems handle sensitive and personal data flows becomes increasingly important. Specifically, both the ability to harness and process large swaths of information as well as their stochastic nature raise key concerns related to both security and privacy. Unfortunately, while some of the traditional security threat modeling can effectively identify certain violations, privacy-related issues are often overlooked. To respond to these challenges, we introduce a novel domain-specific privacy threat modeling framework to support the privacy threat analysis of GenAI-based applications. This framework is constructed through a two-pronged approach: (1) a systematic review of the emerging literature on GenAI privacy threats, and (2) a case-driven application to a representative Chatbot system. These efforts yield a foundational GenAI privacy threat modeling framework built on LINDDUN. The new framework affects three out of the seven privacy threat types of LINDDUN and introduces 100 new GenAI examples to the knowledge base. Its effectiveness is validated on an AI Agent system, which demonstrates that a comprehensive privacy analysis can be supported by the new framework.","Qianying Liao|Jonah Bellemans|Laurens Sion|Xue Jiang|Dmitrii Usynin|Xuebing Zhou|Dimitri Van Landuyt|Lieven Desmet|Wouter Joosen","","https://arxiv.org/abs/2603.06051v1","https://arxiv.org/pdf/2603.06051v1","","21 pages, 5 figures","","","cs.CR","cs.CR|cs.SE"
"2603.06029v1","2026-03-06 08:28:44","2026-03-06 08:28:44","When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure","The Ethereum ecosystem, which secures over $381 billion in assets, fundamentally relies on client APIs as the sole interface between users and the blockchain. However, these critical APIs suffer from widespread implementation inconsistencies, which can lead to financial discrepancies, degraded user experiences, and threats to network reliability. Despite this criticality, existing testing approaches remain manual and incomplete: they require extensive domain expertise, struggle to keep pace with Ethereum's rapid evolution, and fail to distinguish genuine bugs from acceptable implementation variations. We present APIDiffer, the first specification-guided differential testing framework designed to automatically detect API inconsistencies across Ethereum's diverse client ecosystem. APIDiffer transforms API specifications into comprehensive test suites through two key innovations: (1) specification-guided test input generation that creates both syntactically valid and invalid requests enriched with real-time blockchain data, and (2) specification-aware false positive filtering that leverages large language models to distinguish genuine bugs from acceptable variations. Our evaluation across all 11 major Ethereum clients reveals the pervasiveness of API bugs in production systems. APIDiffer uncovered 72 bugs, with 90.28% already confirmed or fixed by developers. Beyond these raw numbers, APIDiffer achieves up to 89.67% higher code coverage than existing tools and reduces false positive rates by 37.38%. The Ethereum community's response validates our impact: developers have integrated our test cases, expressed interest in adopting our methodology, and escalated one bug to the official Ethereum Project Management meeting.","Jie Ma|Ningyu He|Jinwen Xi|Mingzhe Xing|Liangxin Liu|Jiushenzi Luo|Xiaopeng Fu|Chiachih Wu|Haoyu Wang|Ying Gao|Yinliang Yue","","https://arxiv.org/abs/2603.06029v1","https://arxiv.org/pdf/2603.06029v1","https://doi.org/10.1145/3798219","To appear in OOPSLA'26","","10.1145/3798219","cs.SE","cs.SE|cs.CR"
"2603.05989v1","2026-03-06 07:42:33","2026-03-06 07:42:33","SemFuzz: A Semantics-Aware Fuzzing Framework for Network Protocol Implementations","Network protocols are the foundation of modern communication, yet their implementations often contain semantic vulnerabilities stemming from inadequate understanding of specification semantics. Existing gray-box and black-box testing approaches lack semantic modeling of protocols, making it difficult to precisely express testing intent and cover boundary conditions. Moreover, they typically rely on coarse-grained oracles such as crashes, which are inadequate for identifying deep semantic vulnerabilities. To address these limitations, we present a semantics-aware fuzzing framework, SemFuzz. The framework leverages large language models to extract structured semantic rules from RFC documents and generates test cases that intentionally violate these rules to encode specific testing intents. It then detects deep semantic vulnerabilities by comparing the observed responses with the expected ones. Evaluation on seven widely deployed protocol implementations shows that SemFuzz identified sixteen potential vulnerabilities, ten of which have been confirmed. Among the confirmed vulnerabilities, five were previously unknown and four have been assigned CVEs. These results demonstrate the effectiveness of SemFuzz in detecting semantic vulnerabilities.","Yanbang Sun|Quan Luo|Yuelin Wang|Qian Chen|Benjin Liu|Ruiqi Chen|Qing Huang|Xiaohong Li|Junjie Wang","","https://arxiv.org/abs/2603.05989v1","https://arxiv.org/pdf/2603.05989v1","","","","","cs.CR","cs.CR|cs.CY"
"2603.05978v1","2026-03-06 07:20:41","2026-03-06 07:20:41","Statistical Analysis and Optimization of the MFA Protecting Private Keys","In the current information age, asymmetrical cryptography is widely used to protect information and financial transactions such as cryptocurrencies. The loss of private keys can have catastrophic consequences; therefore, effective MFA schemes are needed. In this paper, we focus on generating ephemeral keys to protect private keys. We propose a novel bit-truncation method in which the most significant bits (MSBs) of response values derived from facial features in a template-less biometric scheme are removed, significantly improving both accuracy and security. A statistical analysis is presented to optimize an MFA comprising at least three factors: template-less biometrics, an SRAM PUF-based token, and passwords. The results show a reduction in both false-reject and false-acceptance rates, and the generation of error-free ephemeral keys.","Mahafujul Alam|Julie B. Heynssens|Bertrand Francis Cambou","","https://arxiv.org/abs/2603.05978v1","https://arxiv.org/pdf/2603.05978v1","https://doi.org/10.1109/CCNC65079.2026.11366526","12 pages, 4 figures, 1 table","","10.1109/CCNC65079.2026.11366526","cs.CR","cs.CR"
"2603.05915v1","2026-03-06 05:07:53","2026-03-06 05:07:53","ThermoCAPTCHA: Privacy-Preserving Human Verification with Farm-Resistant Traceable Tokens","CAPTCHAs remain a critical defense against automated abuse, yet modern systems suffer from well-known limitations in usability, accessibility, and resistance to increasingly capable bots and low-cost CAPTCHA farms. Behavioral and puzzle-based mechanisms often impose cognitive burdens, collect extensive interaction data, or permit outsourcing to human solvers. In this paper, we present ThermoCAPTCHA, a novel privacy-preserving human verification system that uses real-time thermal imaging to detect live human presence without requiring users to solve challenges. A lightweight YOLOv4-tiny model identifies human heat signatures from a single thermal capture, while cryptographically bound traceable tokens prevent forwarding attacks by CAPTCHA farm workers. Our prototype achieves 96.70% detection accuracy with a 73.60 ms verification latency on a low-powered server. Comprehensive security evaluation, including MITM manipulation, spoofing attempts, adversarial perturbations, and misuse scenarios, shows that ThermoCAPTCHA withstands threats that commonly defeat behavioral CAPTCHAs. A user study with 50 participants, including visually challenged users, demonstrates improved accuracy, faster completion times, and higher perceived usability compared to reCAPTCHA v2.","Shovon Paul|Md Imran Hossen|Xiali Hei","","https://arxiv.org/abs/2603.05915v1","https://arxiv.org/pdf/2603.05915v1","","18 pages, 17 figures. Submitted manuscript","","","cs.CR","cs.CR"
"2603.05872v1","2026-03-06 03:47:07","2026-03-06 03:47:07","Evolving Deception: When Agents Evolve, Deception Wins","Self-evolving agents offer a promising path toward scalable autonomy. However, in this work, we show that in competitive environments, self-evolution can instead give rise to a serious and previously underexplored risk: the spontaneous emergence of deception as an evolutionarily stable strategy. We conduct a systematic empirical study on the self-evolution of large language model (LLM) agents in a competitive Bidding Arena, where agents iteratively refine their strategies through interaction-driven reflection. Across different evolutionary paths (\eg, Neutral, Honesty-Guided, and Deception-Guided), we find a consistent pattern: under utility-driven competition, unconstrained self-evolution reliably drifts toward deceptive behaviors, even when honest strategies remain viable. This drift is explained by a fundamental asymmetry in generalization. Deception evolves as a transferable meta-strategy that generalizes robustly across diverse and unseen tasks, whereas honesty-based strategies are fragile and often collapse outside their original contexts. Further analysis of agents internal states reveals the emergence of rationalization mechanisms, through which agents justify or deny deceptive actions to reconcile competitive success with normative instructions. Our paper exposes a fundamental tension between agent self-evolution and alignment, highlighting the risks of deploying self-improving agents in adversarial environments.","Zonghao Ying|Haowen Dai|Tianyuan Zhang|Yisong Xiao|Quanchen Zou|Aishan Liu|Jian Yang|Yaodong Yang|Xianglong Liu","","https://arxiv.org/abs/2603.05872v1","https://arxiv.org/pdf/2603.05872v1","","","","","cs.CR","cs.CR"
"2603.05858v1","2026-03-06 03:31:12","2026-03-06 03:31:12","Indoor Space Authentication by ISS-based Keypoint Extraction from 3D Point Clouds","We propose ISS-RegAuth, a lightweight indoor space authentication framework that authenticates a user by comparing LiDAR captures of personal rooms. Prior work processes every point in the cloud, where planar surfaces such as walls and floors dominate similarity calculations, causing latency and potential privacy exposure. In contrast, ISS-RegAuth retains only 1-2\% of Intrinsic Shape Signatures (ISS) keypoints, computes their Fast Point Feature Histograms, and performs RANSAC and ICP on this sparse set. On 100 ARKitScenes pairs, this approach reduces the equal-error rate from 0.02 to 0.00, cuts processing time by 20\%, and lowers transmitted data to 2.2\% of the original. These results show that keypoint-based sparse representation can make privacy-preserving, edge-deployable indoor space authentication practical. As an early step, this work opens a path toward device-independent authentication and account-recovery mechanisms that rely on users' physical environments.","Yuki Yamada|Daisuke Kotani|Kota Tsubouchi|Hidehito Gomi|Yasuo Okabe","","https://arxiv.org/abs/2603.05858v1","https://arxiv.org/pdf/2603.05858v1","","Accepted in IEEE PerCom 2026 as a Work-in-Progress paper","","","cs.CR","cs.CR"
"2603.05791v1","2026-03-06 00:52:49","2026-03-06 00:52:49","A Quantization-Aware Training Based Lightweight Method for Neural Distinguishers","In 2019, Gohr pioneered the application of deep neural networks to differential cryptanalysis, developing DNN-based neural distinguisher classifiers to analyze the SPECK lightweight block cipher. Unlike traditional differential analysis, which relies on Boolean operations on 0-1 sequences, neural distinguishers extract continuous features, introducing 32-bit multiplications operations that increase complexity and potential redundancy. This study proposes a lightweight neural distinguisher based on quantization-aware training. Leveraging learnable step-size quantization, the model's weights are quantized to 1.58 bits, enabling the replacement of all convolutional multiplication operations with Boolean logic. Additionally, the ReLU activation function is reimplemented as a comparison-based indicator function. This transforms the original 32-bit multiplication-dependent architecture into a lightweight structure composed solely of Boolean operations, additions, and indicator functions. Experimental results confirm significant computational complexity reduction. Owing to a high proportion of zero-valued weights, the total operations amount to just 13.9% of Gohr's model. Critically, the most costly 32-bit multiplications are eliminated, with classification accuracy dropping by only 2.87%. When applied exclusively to the initial convolutional layer, the 128 1-by-1 convolutions are replaced with 4 Boolean operations on 16-bit sequences, incurring a negligible 0.3% accuracy loss.","Guangwei Xiong|Linyuan Wang|Zhizhong Zheng|Senbao Hou|Bin Yan","","https://arxiv.org/abs/2603.05791v1","https://arxiv.org/pdf/2603.05791v1","","","","","cs.CR","cs.CR"
"2603.05786v1","2026-03-06 00:34:14","2026-03-06 00:34:14","Proof-of-Guardrail in AI Agents and What (Not) to Trust from It","As AI agents become widely deployed as online services, users often rely on an agent developer's claim about how safety is enforced, which introduces a threat where safety measures are falsely advertised. To address the threat, we propose proof-of-guardrail, a system that enables developers to provide cryptographic proof that a response is generated after a specific open-source guardrail. To generate proof, the developer runs the agent and guardrail inside a Trusted Execution Environment (TEE), which produces a TEE-signed attestation of guardrail code execution verifiable by any user offline. We implement proof-of-guardrail for OpenClaw agents and evaluate latency overhead and deployment cost. Proof-of-guardrail ensures integrity of guardrail execution while keeping the developer's agent private, but we also highlight a risk of deception about safety, for example, when malicious developers actively jailbreak the guardrail. Code and demo video: https://github.com/SaharaLabsAI/Verifiable-ClawGuard","Xisen Jin|Michael Duan|Qin Lin|Aaron Chan|Zhenglun Chen|Junyi Du|Xiang Ren","","https://arxiv.org/abs/2603.05786v1","https://arxiv.org/pdf/2603.05786v1","","8 pages","","","cs.CR","cs.CR|cs.AI|cs.CL"
"2603.05773v1","2026-03-06 00:14:09","2026-03-06 00:14:09","Knowing without Acting: The Disentangled Geometry of Safety Mechanisms in Large Language Models","Safety alignment is often conceptualized as a monolithic process wherein harmfulness detection automatically triggers refusal. However, the persistence of jailbreak attacks suggests a fundamental mechanistic decoupling. We propose the \textbf{\underline{D}}isentangled \textbf{\underline{S}}afety \textbf{\underline{H}}ypothesis \textbf{(DSH)}, positing that safety computation operates on two distinct subspaces: a \textit{Recognition Axis} ($\mathbf{v}_H$, ``Knowing'') and an \textit{Execution Axis} ($\mathbf{v}_R$, ``Acting''). Our geometric analysis reveals a universal ``Reflex-to-Dissociation'' evolution, where these signals transition from antagonistic entanglement in early layers to structural independence in deep layers. To validate this, we introduce \textit{Double-Difference Extraction} and \textit{Adaptive Causal Steering}. Using our curated \textsc{AmbiguityBench}, we demonstrate a causal double dissociation, effectively creating a state of ``Knowing without Acting.'' Crucially, we leverage this disentanglement to propose the \textbf{Refusal Erasure Attack (REA)}, which achieves State-of-the-Art attack success rates by surgically lobotomizing the refusal mechanism. Furthermore, we uncover a critical architectural divergence, contrasting the \textit{Explicit Semantic Control} of Llama3.1 with the \textit{Latent Distributed Control} of Qwen2.5. The code and dataset are available at https://anonymous.4open.science/r/DSH.","Jinman Wu|Yi Xie|Shen Lin|Shiqian Zhao|Xiaofeng Chen","","https://arxiv.org/abs/2603.05773v1","https://arxiv.org/pdf/2603.05773v1","","","","","cs.CR","cs.CR|cs.AI|cs.LG"
"2603.05772v1","2026-03-06 00:13:48","2026-03-06 00:13:48","Depth Charge: Jailbreak Large Language Models from Deep Safety Attention Heads","Currently, open-sourced large language models (OSLLMs) have demonstrated remarkable generative performance. However, as their structure and weights are made public, they are exposed to jailbreak attacks even after alignment. Existing attacks operate primarily at shallow levels, such as the prompt or embedding level, and often fail to expose vulnerabilities rooted in deeper model components, which creates a false sense of security for successful defense. In this paper, we propose \textbf{\underline{S}}afety \textbf{\underline{A}}ttention \textbf{\underline{H}}ead \textbf{\underline{A}}ttack (\textbf{SAHA}), an attention-head-level jailbreak framework that explores the vulnerability in deeper but insufficiently aligned attention heads. SAHA contains two novel designs. Firstly, we reveal that deeper attention layers introduce more vulnerability against jailbreak attacks. Based on this finding, \textbf{SAHA} introduces \textit{Ablation-Impact Ranking} head selection strategy to effectively locate the most vital layer for unsafe output. Secondly, we introduce a boundary-aware perturbation method, \textit{i.e. Layer-Wise Perturbation}, to probe the generation of unsafe content with minimal perturbation to the attention. This constrained perturbation guarantees higher semantic relevance with the target intent while ensuring evasion. Extensive experiments show the superiority of our method: SAHA improves ASR by 14\% over SOTA baselines, revealing the vulnerability of the attack surface on the attention head. Our code is available at https://anonymous.4open.science/r/SAHA.","Jinman Wu|Yi Xie|Shiqian Zhao|Xiaofeng Chen","","https://arxiv.org/abs/2603.05772v1","https://arxiv.org/pdf/2603.05772v1","","","","","cs.CR","cs.CR|cs.AI"
